number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_dropout,params_gamma,params_hidden_dim,params_la_alpha,params_la_k,params_lr,params_sched_factor,params_sched_patience,params_weight_decay,state
0,0.6108517842422683,2026-04-11 15:46:19.858008,2026-04-11 15:47:18.177456,0 days 00:00:58.319448,0.825053426963055,1024,0.3659563583100287,0.8245529259533815,256,0.7992860489452449,5,0.00037932447819306154,0.5399161467677699,3,0.00015087359586555627,COMPLETE
1,0.5998190034519001,2026-04-11 15:47:18.177585,2026-04-11 15:47:54.859161,0 days 00:00:36.681576,0.9345369077920285,4096,0.34288901986293174,4.324318663048074,512,0.7990317395370027,10,0.002653171079050338,0.6486510820182884,3,0.0006056666920352886,COMPLETE
2,0.6945790011983186,2026-04-11 15:47:54.859275,2026-04-11 15:49:22.263908,0 days 00:01:27.404633,0.6743112021761412,512,0.36233909333123854,3.209773011873214,256,0.3492299306495008,5,0.004211869689747902,0.5836510750186803,5,7.242106296060224e-05,COMPLETE
3,0.4983036997126166,2026-04-11 15:49:22.264010,2026-04-11 15:49:52.637133,0 days 00:00:30.373123,0.7807092949308083,4096,0.15120628395907346,3.9964278564890803,128,0.5236270233396402,10,0.0008691600924749443,0.6100013945409053,5,0.0014616159441634049,COMPLETE
4,0.6912867281273981,2026-04-11 15:49:52.637237,2026-04-11 15:51:20.092170,0 days 00:01:27.454933,0.871486242519578,512,0.4651761293463498,2.1517230512870906,512,0.5844471232864674,5,0.0015007257943725118,0.3275632370037845,5,0.0002246086811696113,COMPLETE
5,0.13565784402659303,2026-04-11 15:51:20.092320,2026-04-11 15:51:31.485692,0 days 00:00:11.393372,0.8028583947585561,4096,0.4836389092512947,1.7055001041270987,128,0.44671642895472913,5,0.0003776579559117428,0.49736380588750556,5,4.013457352219407e-06,PRUNED
6,0.33460873013990955,2026-04-11 15:51:31.485789,2026-04-11 15:52:03.689702,0 days 00:00:32.203913,0.6180844731564973,512,0.37448064930442054,3.430737253735714,256,0.32348844723757586,10,0.00019877355448648468,0.5678233619552319,3,8.76578909011749e-05,PRUNED
7,,2026-04-11 15:52:03.689793,2026-04-11 15:52:34.885193,0 days 00:00:31.195400,0.7954417619339141,512,0.15312013269128277,0.734564314061978,512,0.37805473892066194,10,0.0018594995643576827,0.4798701522616915,5,1.8862751297002256e-06,FAIL
8,0.29684636788933627,2026-04-11 15:52:34.888216,2026-04-11 15:53:07.368145,0 days 00:00:32.479929,0.7414018445665271,512,0.3455627000442998,1.9851903145031962,128,0.3580722018221846,10,0.00010335721428253262,0.5192257820299111,3,0.00012124418142336546,PRUNED
9,0.3409223157113695,2026-04-11 15:53:07.368232,2026-04-11 15:53:20.883530,0 days 00:00:13.515298,0.9239314920869389,4096,0.2914872198193164,4.508199724654747,512,0.5414923670981602,5,0.0001239937021494216,0.47530163091101263,5,0.0005220316279489936,PRUNED
10,0.7166657652342383,2026-04-11 15:53:20.883622,2026-04-11 15:54:49.726141,0 days 00:01:28.842519,0.9049703025965989,512,0.10108987092595384,3.8456387320693546,512,0.3771902135646486,5,0.0017196111371260436,0.4062799445020267,5,0.0036832503667678933,COMPLETE
11,0.7272763087306481,2026-04-11 15:54:49.726248,2026-04-11 15:55:54.398564,0 days 00:01:04.672316,0.8659103015993278,1024,0.10956775339298189,4.898678070266565,512,0.6816995061811214,5,0.0014684355460410279,0.39311813698937836,5,0.008906419318822788,COMPLETE
12,0.7252286056599694,2026-04-11 15:55:54.398666,2026-04-11 15:57:00.104336,0 days 00:01:05.705670,0.8715545495652411,1024,0.10159438374232238,4.826795287639132,512,0.6819299996067237,5,0.0013905052230393567,0.38755821861094053,5,0.009557912097063198,COMPLETE
13,0.5478592464044112,2026-04-11 15:57:00.104440,2026-04-11 15:57:24.245514,0 days 00:00:24.141074,0.8554454485425101,1024,0.19935831228036197,4.994462608102901,512,0.679719453349367,5,0.0008231785698512755,0.37712243865904554,5,0.007215373319796873,PRUNED
14,0.5556322027948284,2026-04-11 15:57:24.245601,2026-04-11 15:57:46.960536,0 days 00:00:22.714935,0.7352075089837155,1024,0.2186300897019965,4.969986406269911,512,0.6709535913487322,5,0.0014772325653362986,0.4285678331899447,5,0.009127936247547,PRUNED
15,0.7305019593760406,2026-04-11 15:57:46.960625,2026-04-11 15:58:49.891613,0 days 00:01:02.930988,0.8792292687788802,1024,0.11718082612152915,2.7281668299150557,512,0.6814735382144339,5,0.004136572371206103,0.3018515457990113,5,1.261166182557386e-05,COMPLETE
16,0.7363544787627972,2026-04-11 15:58:49.891719,2026-04-11 15:59:53.855761,0 days 00:01:03.964042,0.8364239900415963,1024,0.18050240688946806,2.7365287062648016,512,0.6074233389655465,5,0.004967270090183969,0.30553666592937334,5,1.0057717148936936e-05,COMPLETE
17,0.7438874650357246,2026-04-11 15:59:53.855862,2026-04-11 16:01:00.001456,0 days 00:01:06.145594,0.8322407670726439,1024,0.2235217577707946,2.6810710070946078,512,0.6058913938849133,5,0.004529472060345486,0.3071434397871667,5,8.57278225681938e-06,COMPLETE
18,0.6490100894943538,2026-04-11 16:01:00.001552,2026-04-11 16:01:31.493217,0 days 00:00:31.491665,0.7262707383432597,1024,0.24738039051181074,2.639265713109487,512,0.6142408593952069,5,0.003081908520857286,0.338882301741859,5,1.0653742976022722e-06,PRUNED
19,0.5952680292761173,2026-04-11 16:01:31.493305,2026-04-11 16:01:52.770951,0 days 00:00:21.277646,0.8263200866119483,1024,0.18240622626770384,1.360497373948295,128,0.4808374379332222,10,0.002475470170643362,0.690421001661812,3,1.4145157650210062e-05,PRUNED
20,0.6487517482214524,2026-04-11 16:01:52.771043,2026-04-11 16:02:20.933944,0 days 00:00:28.162901,0.7785476309249748,1024,0.26882134994906876,3.1418295651930306,256,0.6251582585472365,5,0.004154302904159686,0.4452498845067425,5,2.1926548611627765e-05,PRUNED
21,0.7658196035639703,2026-04-11 16:02:20.934038,2026-04-11 16:03:20.245318,0 days 00:00:59.311280,0.6841937512180274,1024,0.16324068667823263,2.4368510794675866,512,0.7508145616470365,5,0.004974757532577454,0.3434371059364489,5,2.913787090384596e-06,COMPLETE
22,0.7601190690421944,2026-04-11 16:03:20.245417,2026-04-11 16:04:20.007041,0 days 00:00:59.761624,0.6824225136525763,1024,0.16439838642770094,2.3750643989255735,512,0.7522295440486447,5,0.004458778617652345,0.34552680486832743,5,2.802415769993031e-06,COMPLETE
23,0.7306398988273229,2026-04-11 16:04:20.007140,2026-04-11 16:05:20.139677,0 days 00:01:00.132537,0.6760451778418893,1024,0.23432354200267427,2.3034600805070893,512,0.7611862319405093,5,0.0023805847530440905,0.35342840325506514,5,1.4720737970517901e-06,COMPLETE
24,0.761786045817601,2026-04-11 16:05:20.139774,2026-04-11 16:06:19.846686,0 days 00:00:59.706912,0.67684062305022,1024,0.1491077758683244,1.38557758138897,512,0.7410203196882776,5,0.003429309189204177,0.357814466348829,5,3.6680780453697637e-06,COMPLETE
25,0.7711469023087485,2026-04-11 16:06:19.846788,2026-04-11 16:07:19.867381,0 days 00:01:00.020593,0.6597986061051202,1024,0.15118176340972087,1.2946764714938919,512,0.7382038506168318,5,0.0030949708111842346,0.3639426136809517,5,3.606655867281596e-06,COMPLETE
26,,2026-04-11 16:07:19.867477,2026-04-11 16:07:39.726637,0 days 00:00:19.859160,0.6014061398271378,1024,0.14660974764674134,0.5858989872640306,512,0.7337526633476807,5,0.0029745662291876243,0.44188586364944393,5,3.810833710560277e-05,FAIL
27,,2026-04-11 16:07:39.727753,2026-04-11 16:08:00.141827,0 days 00:00:20.414074,0.6134450294393191,1024,0.14292673701883615,0.5717686669023095,512,0.734027678662965,5,0.0031916124994063404,0.4266783157285188,5,3.85350833735738e-06,FAIL
28,,2026-04-11 16:08:00.142939,2026-04-11 16:08:11.562849,0 days 00:00:11.419910,0.6012370918774693,1024,0.14573580496653069,0.635157345038736,512,0.7383203555489348,5,0.003162625038091477,0.4319573458925281,5,3.341867451745708e-05,FAIL
29,,2026-04-11 16:08:11.563941,2026-04-11 16:08:37.918319,0 days 00:00:26.354378,0.622886323015448,1024,0.13890397193482046,0.7888924340005145,512,0.7208637389883487,5,0.0031822338437784083,0.448645049990921,5,3.2446279116662834e-05,FAIL
